Cycle,Side teeth,,,,,,,,,,,,End teeth,,,,,,,
,Cutting edge 1,,,Cutting edge2,,,Cutting edge 3,,,Cutting edge 4,,,Cutting edge 1,,Cutting edge 2,,Cutting edge 3,,Cutting edge 4,
,"Vbmax
(mm)","VB in 1/2ap
(mm)","S
(mm2)","Vbmax
(mm)","VB in 1/2ap
(mm)","S
(mm2)","Vbmax
(mm)","VB in 1/2ap
(mm)","S
(mm2)","Vbmax
(mm)","VB in 1/2ap
(mm)","S
(mm2)","Vbmax
(mm)","S
(mm2)","Vbmax
(mm)","S
(mm2)","Vbmax
(mm)","S
(mm2)","Vbmax
(mm)","S
(mm2)"
,,,,,,,,,,,,,,,,,,,,
48,0.2805 ,0.2328,0.0701 ,0.2149,0.1314,0.3776,0.2328,0.1851,0.0615,0.1194,0.1016 ,0.0603,0.0778,0.0357,0.1194,0.0395,0.0957,0.044,0.0897,0.0315
49,0.2033 ,0.1818,0.0854 ,0.2865,0.2748,0.42,0.1790 ,0.1553,0.07,0.2269,0.1910 ,0.1062,0.0659,0.0314,0.0836,0.0313,0.0778,0.0348,0.0597,0.0293
50,0.2328 ,0.1973,0.0657 ,0.3282,0.1969,0.4758,0.2208 ,0.1850 ,0.0777,0.1434,0.1255 ,0.0628,0.0895,0.0352,0.0895,0.0340 ,0.1074,0.0349,0.0955,0.0286
51,0.1621 ,0.1374,0.0642 ,0.2986,0.2808,0.3547,0.2745 ,0.2453,0.1403,0.1735,0.1434 ,0.0696,0.0895,0.0290 ,0.0719,0.0384,0.0726,0.0252,0.0716,0.0320 
52,0.1556 ,0.1318,0.0436 ,0.2447,0.2271,0.3513,0.2092 ,0.1747,0.0578,0.2268,0.1850 ,0.0692,0.0776,0.0401,0.0895,0.0239,0.0778,0.0262,0.1135,0.0441
53,0.3450 ,0.2328,0.0887,0.3109,0.1374,0.3039,0.3760 ,0.2985,0.0802,0.2507,0.1794,0.0529,0.0719,0.0330 ,0.0955,0.0369,0.0808,0.0370 ,0.0600 ,0.0409
54,0.2999,0.2865,0.0608,0.3402,0.2092,0.2654,0.4148,0.3104,0.0875,0.2211,0.1911,0.0967,0.1255,0.0978,0.0895,0.0569,0.0776,0.0272,0.6556,0.0267
55,0.0982,0.0719,0.0435,0.4099,0.3702,0.4833,0.1893,0.1556,0.0415,0.2566,0.2448,0.1959,0.1015,0.0614,0.0955,0.0433,0.0836,0.0211,0.1076,0.0260 
56,0.2806,0.2268,0.0862,0.3701,0.3223,0.5034,0.3048,0.2686 ,0.1699,0.2152,0.1970 ,0.1768,0.0955,0.0409,0.1434,0.0645,0.1432,0.1128,0.1492,0.0644
57,0.3046,0.1553,0.1959,0.4198,0.3760 ,0.5488,0.2387,0.2271,0.1722,0.2984,0.1790 ,0.2149,0.1074,0.0527,0.1373,0.0569,0.1493,0.0897,0.0659,0.0376
58,0.2924,0.2148,0.1762,0.3223,0.2746,0.5693,0.3465,0.2746,0.2715,0.2271,0.1378,0.1802,0.1433,0.0697,0.1136,0.0533,0.1492,0.0511,0.0836,0.0457
59,0.2102,0.1191,0.0905,0.4000 ,0.3701,0.5033,0.2761,0.1850 ,0.2856,0.2627,0.2268,0.1577,0.1015,0.0536,0.1015,0.0825,0.1074,0.0485,0.1076,0.0399
60,0.2507,0.1850 ,0.1243,0.4187,0.2806,0.5184,0.3780 ,0.3223,0.3364,0.2453,0.2152,0.1346,0.1076,0.0492,0.1432,0.0776,0.1255,0.0444,0.1199,0.0519
61,0.3564,0.3521,0.2483,0.4655,0.3700 ,0.7111,0.4120 ,0.2387,0.3432,0.3820 ,0.3344,0.2735,0.1076,0.0534,0.1373,0.0661,0.1076,0.0371,0.1314,0.0593
62,0.4837,0.3583,0.2276,0.4655,0.2984,0.5421,0.3523,0.2572 ,0.2034,0.3406,0.3223,0.2012,0.1134,0.0648,0.1314,0.0673,0.1255,0.0554,0.0659,0.0370 
63,0.5213,0.5374,0.2756,0.4123,0.2686,0.5957,0.3836,0.2509,0.2771,0.3625,0.2030 ,0.3051,0.0897,0.0201,0.0903,0.0348,0.912,0.343,0.0912,0.0362
64,0.6183,0.7221,0.2365,0.5126,0.4834,0.558,0.3561,0.3223,0.3414,0.3120 ,0.2686,0.335,0.1318,0.0568,0.0785,0.0444,0.0838,0.0431,0.0903,0.0337
65,0.6505,0.6566,0.3129,0.3941,0.3999,0.3893,0.3282,0.3347,0.2167,0.4059,0.4118,0.2158,0.0838,0.0261,0.1194,0.0401,0.1081,0.0418,0.0838,0.0422
66,0.6207,0.6505,0.1715,0.2805,0.2808,0.3201,0.3103,0.3103,0.1263,0.3581,0.3282,0.1192,0.0838,0.0363,0.0957,0.0346,0.0897,0.0328,0.0726,0.0341
67,0.5729,0.4894,0.213,0.3464,0.1850 ,0.3294,0.3228,0.2865,0.1372,0.3044,0.2925,0.1365,0.1021,0.0368,0.1081,0.0402,0.1194,0.0436,0.1015,0.0370 
68,0.6983,0.5193,0.198,0.3701,0.2745,0.5055,0.3283,0.3163,0.185,0.3164,0.3402,0.1751,0.1194,0.0550 ,0.1255,0.0486,0.1136,0.0506,0.0836,0.0418
